的	de5	37373440.45	32511		354		白			
一	yi1	16826817.08	1							
了	le5	14843544.55	52							
是	shi4	14684633.53	2511		12134		日			
不	bu4	14031798.53	1324							
我	wo3	10569208.37	3121534							
有	you3	8777379.368	13		2511				月	
在	zai4	8772659.883	132		121				土	
人	ren2	8395392.099	34				人			
这	zhe4	8205300.167	4134		454		文		辶	
他	ta1	8197463.203	32		525		亻			
来	lai2	6918140.534	1431234							
个	ge4	6581117.403	34		2		人			
上	shang4	5727340.175	211							
们	men5	5372243.171	32		425		亻			
大	da4	5118002.85	134				大			
你	ni3	5090805.508	32		35	234	亻			
到	dao4	5090639.334	154	121	22			土		
着	zhe5	5088132.18	431113		25111				目	
说	shuo1	5028679.537	45		43	25135	讠			
也	ye3	4986368.817	525							
就	jiu4	4658358.117	41251	234	1354					
道	dao4	4583978.946	431	325111	454			丿	辶	
子	zi3	4321933.059	521							
中	zhong1	4293444.616	2512							
那	na4	4188177.056	5113		52					
为	wei4	3976250.519	4354							
出	chu1	3904174.04	52252							
么	me5	3857838.394	3		54					
可	ke3	3810466.652	12		251				口	
时	shi2	3797929.348	2511		124		日		寸	
要	yao4	3756534.497	125221		531		西		女	
地	di4	3691746.685	121525		525		土			
得	de2	3681677.481	332		2511	1124	彳		日	
下	xia4	3675411.892	124							
去	qu4	3654109.502	121		54		土			
以	yi3	3565015.157	54		34				人	
里	li3	3480212.992	2511211							
看	kan4	3477789.307	3113		25111				目	
她	ta1	3311326.961	531		525		女			
然	ran2	3296463.226	3544	13444444	4444			大	火	
过	guo4	3287530.436	124		454		寸		辶	
自	zi4	3223795.567	325111							
和	he2	3180229.737	31234		251		禾		口	
没	mei2	3058361.66	441		3554		水		殳	
好	hao3	3047925.649	531		521		女			
之	zhi1	2992952.037	454							
对	dui4	2965679.648	54		124		又		寸	
天	tian1	2960183.665	1134							
能	neng2	2943054.761	54	2511	35	35		月	匕	匕
还	hai2	2934592.924	1324		454				辶	
而	er2	2907799.146	132522							
小	xiao3	2907287.607	234							
都	dou1	2731565.483	1213	2511	52		十	日		
会	hui4	2695663.552	34		11	54	人			
后	hou4	2570011.004	331		251				口	
心	xin1	2558196.593	4544				心			
生	sheng1	2492334.396	31121		1121					
家	jia1	2480526.112	445		1353334		宀			
起	qi3	2435868.284	121	2134	515		土			
多	duo1	2430223.74	354		354					
用	yung4	2423592.11	35112							
想	xiang3	2378019.944	1234	25111	4544		木	目	心	
只	zhi3	2349157.802	251		34		口			
于	yu2	2282270.995	112							
事	shi4	2272483.597	12515112							
面	mian4	2232514.623	132522111							
点	dian3	2231268.703	21	251	4444			口	火	
样	yang4	2157648.417	1234		43	1112	木			
所	suo3	2068619.162	3351		3312					
头	tou2	2037629.691	44		134				大	
如	ru2	1987848.814	531		251		女		口	
又	you4	1963893.772	54				又			
作	zuo4	1940529.911	32		31211		亻			
手	shou3	1926229.788	3112				手			
华	hua2	1921877.11	32	35	12		亻	匕	十	
方	fang1	1920873.942	4153				方			
些	xie1	1892863.345	2121	35	11		止	匕		
无	wu2	1887649.168	1135							
现	xian4	1880468.475	1121		25	35	王			儿
年	nian2	1879358.864	311212							
国	guo2	1853230.547	251		1121	4	囗		王	
知	zhi1	1839625.749	31	134	251			大	口	
