一	一ＹＩ一
了	乛亅ＬＥ
是	日一<足下>Ｓ
不	不ＢＵ一
我	手戈ＷＯ
这	文辶ＺＥ
在	<在角>土ＺＩ
人	人ＲＮ丿
有	冃ＹＵ
他	亻也ＴＡ
来	未丷ＬＩ
个	人丨ＧＥ
道	<首上>自辶Ｄ
你	亻小Ｎ
大	大ＤＡ一
到	至刂ＤＯ
着	目ＺＥ
就	<享上>小尢Ｊ
上	<卓上>一ＳＧ
们	亻门ＭＮ
那	<那左>阝ＮＡ
也	也ＹＥ乛
说	讠丷儿Ｓ
么	丿厶ＭＥ
下	下ＸＡ一
出	凵山ＣＵ
然	<然角>丶灬Ｒ
地	土也ＤＩ
中	中ＺＧ丨
看	目ＫＮ
时	日寸ＳＩ
要	覀女ＹＯ
没	氵殳ＭＩ
天	一大ＴＮ
过	寸辶ＧＯ
可	可ＫＥ一
自	自ＺＩ丿
子	子ＺＩ乛
能	厶冃匕Ｎ
还	不辶ＨＩ
之	之ＺＩ丶
以	以ＹＩ乛
去	土厶ＱＵ
好	女子ＨＯ
后	<后上>口ＨＵ
为	<冬下>力ＷＩ
都	者阝ＤＵ
会	人云ＨＩ
里	里ＬＩ丨
心	心ＸＮ丶
得	彳日寸Ｄ
对	又寸ＤＩ
身	身ＳＮ丿
手	手ＳＵ丿
起	走己ＱＩ
小	小ＸＯ丨
想	相心ＸＧ
只	口八ＺＩ
而	丆<而下>ＥＲ
和	禾口ＨＥ
头	头ＴＵ丶
她	女也ＴＡ
无	<干变>乚ＷＵ
力	力ＬＩ乛
面	丆罒二Ｍ
己	己ＪＩ乛
如	女口ＲＵ
现	王见ＸＮ
什	亻十ＳＩ
样	木羊ＹＧ
多	夕夕ＤＯ
已	已ＹＩ乛
知	矢口ＺＩ
些	止匕二Ｘ
经	纟<经角>工Ｊ
声	士<声下>ＳＧ
前	<首上><前下>ＱＮ
神	礻日丨Ｓ
笑	丿大Ｘ
事	丨口<秉中>Ｓ
开	开ＫＩ一
点	占灬ＤＮ
方	方ＦＧ丶
眼	目艮ＹＮ
发	发ＦＡ乛
所	<右框>斤Ｓ
但	亻日一Ｄ
气	气ＱＩ丿
法	氵土厶Ｆ
意	音心ＹＩ
情	忄月Ｑ
两	两ＬＧ一
生	丿ＳＧ
家	宀豕ＪＡ
间	门日ＪＮ
将	丬夕寸Ｊ
很	彳艮ＨＮ
真	十<具上>八Ｚ
话	讠舌ＨＡ
成	戊ＣＧ
让	讠<卓上>一Ｒ
被	衤皮ＢＩ
老	耂匕ＬＯ
动	云力ＤＧ
当	彐ＤＧ
用	用ＹＧ丿
于	于ＹＵ一
见	见ＪＮ丨
回	囗口ＨＩ
又	又ＹＵ乛
军	冖车ＪＮ
把	扌巴ＢＡ
此	止匕ＣＩ
才	才ＣＩ一
几	几ＪＩ丿
战	占戈ＺＮ
正	一止ＺＧ
龙	龙ＬＧ一
明	日月ＭＧ
从	从ＣＧ丿
却	土厶卩Ｑ
长	长ＣＧ丿
十	十ＳＩ一
三	三ＳＮ一
女	女ＮＵ乛
光	一儿Ｇ
再	王冂ＺＩ
向	<向框>口ＸＧ
实	宀头ＳＩ
最	日耳又Ｚ
行	彳亍ＸＧ
高	<高外>口ＧＯ
本	木一ＢＮ
打	扌丁ＤＡ
定	宀一<足下>Ｄ
进	井辶ＪＮ
魔	广林<见下>Ｍ
风	风ＦＧ丿
给	纟亼口Ｊ
问	门口ＷＮ
国	囗王丶Ｇ
色	巴ＳＥ
同	冂一口Ｔ
种	禾中ＺＧ
走	走ＺＵ一
其	其ＱＩ一
年	<年下>ＮＮ
口	口ＫＵ丨
王	王ＷＧ一
怎	乍心ＺＮ
边	力辶ＢＮ
次	冫欠ＣＩ
全	人王ＱＮ
白	白ＢＩ丿
吧	口巴ＢＡ
儿	儿ＥＲ丿
感	戊一心Ｇ
果	日木ＧＯ
听	口斤ＴＧ
啊	口阝可Ａ
体	亻木一Ｔ
外	夕卜ＷＩ
死	歹匕ＳＩ
飞	乙冫ＦＩ
分	八刀ＦＮ
主	主ＺＵ丶
觉	<学上>见ＪＥ
住	亻主ＺＵ
少	少ＳＯ丨
比	比ＢＩ一
空	穴工ＫＧ
因	囗大ＹＮ
门	门ＭＮ丶
等	土寸Ｄ
轻	<车旁><经角>工Ｑ
直	十<具上>ＺＩ
第	弓丿Ｄ
候	亻<候角>矢Ｈ
脸	月亼<应下>Ｌ
相	相ＸＧ一
强	弓口虫Ｑ
何	亻可ＨＥ
张	弓长ＺＧ
快	忄夬ＫＩ
做	亻古攵Ｚ
重	千里ＺＧ
与	与ＹＵ一
太	大丶ＴＩ
应	广<应下>ＹＧ
刚	冂乂刂Ｇ
接	扌立女Ｊ
位	亻立ＷＩ
便	亻一乂Ｂ
量	日一里Ｌ
更	一日乂Ｇ
难	又隹ＮＮ
名	夕口ＭＧ
二	二ＥＲ一
内	内ＮＩ丨
连	车辶ＬＮ
水	水ＳＩ丨
西	西ＸＩ一
黑	黑ＨＩ丨
马	马ＭＡ乛
部	立口阝Ｂ
入	丿丶ＲＵ
作	亻乍ＺＯ
吗	口马ＭＡ
兵	丘八ＢＧ
师	<归左>一巾Ｓ
虽	口虫ＳＩ
别	另刂ＢＥ
击	<举下>凵ＪＩ
放	方攵ＦＧ
完	宀元ＷＮ
四	囗儿ＳＩ
灵	彐火ＬＧ
公	八厶ＧＧ
并	丷开ＢＧ
先	儿ＸＮ
处	夂卜ＣＵ
士	士ＳＩ一
剑	亼<应下>刂Ｊ
算	目廾Ｓ
东	<东上>小ＤＧ
机	木几ＪＩ
微	<微框>几ＷＩ
城	土戊Ｃ
火	火ＨＯ丶
变	<变上>又ＢＮ
叫	口丩ＪＯ
清	氵月Ｑ
带	<带上>冖巾Ｄ
杀	乂朩ＳＡ
斯	其斤ＳＩ
李	木子ＬＩ
队	阝人ＤＩ
云	云ＹＮ一
者	者ＺＥ一
望	亡月王Ｗ
原	厂白小Ｙ
竟	音儿ＪＧ
像	亻象ＸＧ
惊	忄<享上>小Ｊ
呢	口尸匕Ｎ
安	宀女ＡＮ
山	山ＳＮ丨
星	日丿Ｘ
族	<旗角>矢ＺＵ
海	氵母Ｈ
月	月ＹＥ丿
加	加ＪＡ乛
金	金ＪＮ丿
目	目ＭＵ丨
特	牜土寸Ｔ
跟	艮ＧＮ
场	土<乃上><两撇>Ｃ
林	林ＬＮ一
由	由ＹＵ丨
万	丆ＷＮ
美	大ＭＩ
任	亻壬ＲＮ
使	亻丈口Ｓ
日	日ＲＩ丨
立	立ＬＩ丶
命	亼口卩Ｍ
思	田心ＳＩ
关	<首上>大ＧＮ
百	丆日ＢＩ
转	<车旁>二<专下>Ｚ
理	王里ＬＩ
常	口巾Ｃ
血	丿皿ＸＥ
乎	丿丷丨Ｈ
受	<爱上>又ＳＵ
离	文凵冂Ｌ
该	讠亥ＧＩ
界	田人<齐下>Ｊ
远	元辶ＹＮ
平	干丷ＰＧ
阵	阝车ＺＮ
物	牜勹<两撇>Ｗ
冷	冫今丶Ｌ
数	米女攵Ｓ
信	亻言ＸＮ
刻	亥刂ＫＥ
至	至ＺＩ一
突	穴大丶Ｔ
失	失ＳＩ丿
怪	忄又土Ｇ
随	阝辶Ｓ
五	五ＷＵ一
反	又ＦＮ
找	扌戈ＺＯ
似	亻以ＳＩ
许	讠午ＸＵ
般	舟殳ＢＮ
武	一弋止Ｗ
雷	<雨头>田ＬＩ
非	非ＦＩ丨
奇	大可ＱＩ
通	<甬下>辶Ｔ
解	用牛Ｊ
绝	纟巴Ｊ
怕	忄白ＰＡ
精	米月Ｊ
修	亻夂彡Ｘ
暗	日音ＡＮ
满	氵艹两Ｍ
双	又又ＳＧ
度	广廿又Ｄ
且	且ＱＥ丨
红	纟工ＨＧ
半	半ＢＮ丶
世	世ＳＩ一
始	女厶口Ｓ
倒	亻至刂Ｄ
拉	扌立ＬＡ
今	今ＪＮ丿
它	宀匕ＴＡ
落	<艹氵>各ＬＯ
攻	工攵ＧＧ
学	<学上>子ＸＥ
尔	小ＥＲ
传	亻二<专下>Ｃ
音	音ＹＮ丶
指	扌匕日Ｚ
路	各ＬＵ
越	走戈乚Ｙ
表	<衣下>ＢＯ
石	石ＳＩ一
容	穴<谷下>ＲＧ
紧	<临左>又小Ｊ
哥	可可ＧＥ
合	亼口ＨＥ
罗	罒夕ＬＯ
利	禾刂ＬＩ
冲	冫中ＣＧ
步	止<步下>ＢＵ
够	勹口夕Ｇ
影	日小彡Ｙ
姐	女且ＪＥ
伤	亻力Ｓ
若	艹口Ｒ
亲	立朩ＱＮ
功	工力ＧＧ
整	木攵止Ｚ
弟	丷弓丿Ｄ
丝	<乡上><乡上>一Ｓ
息	自心ＸＩ
吃	口乙Ｃ
众	人从ＺＧ
花	艹亻<化右>Ｈ
势	执力ＳＩ
早	日十ＺＯ
哈	口亼口Ｈ
帝	<旁上>巾ＤＩ
流	氵<充上><流角>Ｌ
团	囗才ＴＮ
青	月ＱＧ
根	木艮ＧＮ
极	木及ＪＩ
静	月亅Ｊ
形	开彡ＸＧ
即	<即左>卩ＪＩ
深	氵木Ｓ
周	<周框>土口Ｚ
近	斤辶ＪＮ
千	千ＱＮ丿
消	氵冃Ｘ
结	纟吉ＪＥ
制	牛冂刂Ｚ
干	干ＧＮ一
帮	<丰变>阝巾Ｂ
速	木口辶Ｓ
楚	林乛<足下>Ｃ
性	忄丿Ｘ
备	夂田ＢＩ
系	丿幺小Ｘ
言	言ＹＮ丶
提	扌日<足下>Ｔ
教	耂子攵Ｊ
皇	白王ＨＧ
令	今丶ＬＧ
文	文ＷＮ丶
雪	<雨头>彐ＸＥ
谁	讠隹ＳＩ
终	纟夂<冬下>Ｚ
必	心丿ＢＩ
站	立占ＺＮ
化	亻<化右>ＨＡ
哪	口<那左>阝Ｎ
破	石皮ＰＯ
认	讠人ＲＮ
忙	忄亡ＭＧ
往	彳主ＷＧ
玉	王丶ＹＵ
级	纟及ＪＩ
车	车ＣＥ一
底	广<卬左>七Ｄ
总	丷口心Ｚ
坐	从土ＺＯ
巨	匚<右框>ＪＵ
男	田力ＮＮ
显	日业ＸＮ
克	古儿ＫＥ
各	各ＧＥ丿
新	立朩斤Ｘ
斗	斗ＤＵ丶
仙	亻山ＸＮ
急	彐心Ｊ
切	七刀ＱＥ
阳	阝日ＹＧ
叶	口十ＹＥ
领	今丶页Ｌ
收	丩攵ＳＵ
衣	亠<衣下>ＹＩ
敢	乛耳攵Ｇ
异	巳廾ＹＩ
围	囗二<韦下>Ｗ
达	大辶ＤＡ
象	象ＸＧ丿
件	亻牛ＪＮ
错	钅日Ｃ
服	月卩又Ｆ
慢	忄日又Ｍ
保	亻口木Ｂ
办	力八ＢＮ
活	氵舌ＨＯ
喜	吉<首上>口Ｘ
片	片ＰＮ丿
杨	木<乃上><两撇>Ｙ
兴	<应下>八ＸＧ
刀	刀ＤＯ乛
摇	扌爫缶Ｙ
准	冫隹ＺＮ
夜	亠亻夂Ｙ
拿	亼口手Ｎ
电	日乚ＤＮ
交	亠父ＪＯ
条	夂朩ＴＯ
朝	十十月Ｃ
华	亻<化右>十Ｈ
管	宀<官下>Ｇ
断	米乚斤Ｄ
兽	丷田口Ｓ
决	冫夬ＪＥ
尽	尺<冬下>ＪＮ
苦	艹古ＫＵ
依	亻亠<衣下>Ｙ
易	日勹<两撇>Ｙ
八	八ＢＡ丿
则	贝刂ＺＥ
露	<雨头>各Ｌ
语	讠五口Ｙ
兰	<首上>二ＬＮ
闪	门人ＳＮ
冰	冫水ＢＧ
足	足ＺＵ丨
记	讠己ＪＩ
德	彳十心Ｄ
响	口<向框>口Ｘ
害	宀丰口Ｈ
及	及ＪＩ丿
球	王<求架>丶Ｑ
阿	阝可ＡＡ
计	讠十ＪＩ
顿	七凵页Ｄ
爱	<爱上>又Ａ
告	口ＧＯ
夫	夫ＦＵ一
七	七ＱＩ一
嘴	口匕用Ｚ
器	吅大吅Ｑ
圣	又土ＳＧ
